origin_dist,dest_dist,obs,gan,diff,pct_diff
10,24,16,10.21118,-5.788820266723633,-0.36180126667022705
10,25,16,34.719032,18.719032287597656,1.1699395179748535
10,26,66,16.55048,-49.449520111083984,-0.7492351531982422
10,27,3,7.2463264,4.246326446533203,1.4154421488444011
11,1,21,8.3047905,-12.695209503173828,-0.6045337858654204
11,2,5,0.9607274,-4.039272606372833,-0.8078545212745667
11,3,31,40.15173,9.151729583740234,0.2952170833464592
11,4,2,0.7753259,-1.224674105644226,-0.612337052822113
11,5,12,9.954794,-2.045206069946289,-0.17043383916219076
11,7,10,5.9835477,-4.016452312469482,-0.40164523124694823
11,8,2,1.2854697,-0.714530348777771,-0.3572651743888855
11,9,123,94.36895,-28.63105010986328,-0.2327727651208397
11,10,7,1.7505726,-5.249427437782288,-0.7499182053974697
11,11,56,78.32848,22.32848358154297,0.3987229210989816
11,12,2,12.7510805,10.751080513000488,5.375540256500244
11,14,7,7.551404,0.5514039993286133,0.0787719999040876
11,15,19,26.331707,7.331707000732422,0.3858793158280222
11,16,1,2.7671292,1.7671291828155518,1.7671291828155518
11,22,1,0.07173687,-0.9282631278038025,-0.9282631278038025
11,23,11,12.865281,1.865281105041504,0.16957100954922763
11,24,31,17.15355,-13.846450805664062,-0.4466597034085181
11,25,15,32.95132,17.95132064819336,1.1967547098795572
11,26,1,0.6476448,-0.3523551821708679,-0.3523551821708679
11,27,1,1.5732577,0.5732576847076416,0.5732576847076416
12,1,57,36.478447,-20.52155303955078,-0.36002724630790844
12,2,9,1.9457341,-7.054265856742859,-0.7838073174158732
12,3,35,40.65425,5.6542510986328125,0.16155003138950894
12,4,11,1.9341508,-9.06584918498993,-0.8241681077263572
12,5,114,88.5385,-25.461502075195312,-0.22334650943153783
12,6,5,1.8413475,-3.1586525440216064,-0.6317305088043212
12,7,20,26.166473,6.166473388671875,0.30832366943359374
12,8,5,8.969742,3.9697418212890625,0.7939483642578125
12,9,62,56.09355,-5.9064483642578125,-0.09526529619770666
12,10,14,7.5642505,-6.435749530792236,-0.4596963950565883
12,11,1,3.378239,2.3782389163970947,2.3782389163970947
12,12,321,367.65625,46.65625,0.14534657320872274
12,13,2,1.5931237,-0.4068763256072998,-0.2034381628036499
12,14,172,174.61748,2.6174774169921875,0.015217891959256904
12,15,14,9.159863,-4.840136528015137,-0.3457240377153669
12,16,2,1.4973255,-0.5026744604110718,-0.2513372302055359
12,23,5,2.9262037,-2.073796272277832,-0.4147592544555664
12,24,87,46.8686,-40.13140106201172,-0.46128047197714617
12,25,103,171.68484,68.68484497070312,0.6668431550553702
12,26,1,1.0161874,0.016187429428100586,0.016187429428100586
12,27,17,5.3802085,-11.619791507720947,-0.6835171475129969
13,1,35,27.797382,-7.202617645263672,-0.20578907557896206
13,2,4,2.102564,-1.8974359035491943,-0.4743589758872986
13,3,21,33.380535,12.380535125732422,0.5895492917015439
13,4,38,22.832932,-15.167068481445312,-0.3991333810906661
13,5,17,5.484555,-11.515445232391357,-0.6773791313171387
13,6,13,8.271922,-4.7280778884887695,-0.36369829911452073
13,7,5,2.2754848,-2.724515199661255,-0.544903039932251
