"TAZ","access_general_sov_attr","access_nearby_sov_attr","access_walk_attr","access_transit_attr","access_employment_sov_attr","access_general_sov","access_nearby_sov","access_walk","access_transit","access_employment_sov"
988,9745.60,2111.30,0.301232,9745.60,818,12.5746,9.89985,0.468783,3.90027,11.4951
989,9881.30,2058.00,0.135967,9881.30,1597.00,12.2327,9.21322,0.975339,2.85335,11.3497
990,4299.20,851.5,0.058595,4299.20,855,12.2775,9.30617,0.792219,2.67352,11.3649
991,7873.70,1670.60,0.189059,7873.70,969,12.6448,10.499,1.12746,3.31921,11.5037
992,4623.20,985.7,0.116625,4623.20,528,12.6339,10.5666,1.43098,3.24476,11.4944
993,4796.60,1110.50,3.94013,4796.60,282,12.4363,9.79282,1.81677,3.39768,11.4221
994,87.4,23,0.177706,87.4,0.00,11.9736,8.61265,0.93919,0.00,11.2503
995,112.1,29.5,0.226962,112.1,0.00,11.6653,7.89133,0.00,0.00,11.0979
1001,66,16,0.0868642,66,5,12.6114,9.24268,2.59254,3.97286,11.5297
1002,105.2,19.4,0.00,105.2,29,12.6101,9.30703,2.4281,4.25348,11.5144
1003,676.3,170.7,1.19486,676.3,26,12.2362,8.59166,1.22883,3.28049,11.3511
1004,886.2,219,1.4233,886.2,51,12.4581,8.92099,1.76056,2.5127,11.4665
1005,3.8,1,0.00768941,3.8,0.00,12.439,8.99015,0.642416,2.80843,11.4381
1006,0.00,0.00,0.00,0.00,0.00,12.4445,8.97795,1.27476,3.57403,11.4474
1007,1355.90,337.6,2.27327,1355.90,69,12.6395,9.4796,1.93464,3.33953,11.5789
1008,3791.10,836,1.08853,3791.10,272,12.7648,9.74142,2.20824,3.21375,11.6449
1009,895.9,201.9,1.14548,895.9,107,12.7451,9.61864,1.80359,3.03033,11.6443
1010,1304.50,336.5,2.51714,1304.50,24,12.274,8.66944,0.547685,2.99332,11.3727
1011,4963.80,1086.00,0.182757,4963.80,282,12.7496,9.70401,1.74594,3.01936,11.6385
1012,979.3,253.8,1.90435,979.3,14,12.2903,8.78847,0.309011,1.15753,11.4267
1013,470.3,120,0.905518,470.3,13,12.4221,8.93615,0.78331,2.26906,11.4977
1014,1129.20,289,2.22327,1129.20,29,12.3713,8.8525,0.887253,2.0286,11.4736
