"TAZ","Type","HH","HH_POP","GQPop","Median_Inc","Pct_Worker","Pct_Child","Pct_Senior","HHOF1","HHOF2","HHOF3","HHOF4","HHOF5","HHOF6","HHOF7","Elem","High","College","StudGQ_UNR","StudOff_UNR","BuildingS_UNR","NAICS11","NAICS21","NAICS22","NAICS23","NAICS31","NAICS32","NAICS33","NAICS42","NAICS44","NAICS45","NAICS48","NAICS49","NAICS51","NAICS52","NAICS53","NAICS54","NAICS55","NAICS56","NAICS61","NAICS62","NAICS71","NAICS72","NAICS81","NAICS92","NAICS99","HotelRms","AWDT","IEEI_Distance","PCT_AUTO_EE","PCT_AUTO_IEEI","PCT_TRK_EE","PCT_TRK_IEEI","Industry","Office","Service_RateHigh","Service_RateLow","Retail","K12","PctHighPay","Enplanements"
137,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,8,11,0.00,36.3636,0
138,"Internal",271,334,0.00,14621.00,66.4671,3.59281,29.9401,227,37,2,1,1,3,0.00,0.00,0.00,0.00,,7,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,7,0.00,24,0.00,0.00,7,37,0.00,0.00,0.00,0.00,,,,,,,0.00,24,2.1,18.9,37,0.00,32.4675,0
139,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,18,0.00,3,0.00,0.00,0.00,7,0.00,0.00,1,0.00,26,124,24,180,6,30,6,8,7,36,6,41,0.00,0.00,,,,,,,27.5,78.5,6.1,374.9,36,0.00,54.4053,0
140,"Internal",204,410,0.00,28047.00,60.4878,24.6341,14.878,72,78,35,18,1,0.00,0.00,0.00,0.00,0.00,,9,,0.00,0.00,0.00,57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,20,8,0.00,2,0.00,7,7,39,0.00,0.00,0.00,93,,,,,,,28.5,30.5,3.5,48.5,39,0.00,43.9024,0
141,"Internal",60,146,0.00,14621.00,80.137,18.4932,1.36986,27,11,7,6,4,3,2,0.00,0.00,0.00,,3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0.00,1,3,0.00,0.00,0.00,1,9,49,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,2.9,11.1,50,0.00,44.6429,0
142,"Internal",1,2,0.00,47273.00,50,0.00,50,0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,18,0.00,90,0.00,2035.00,10,56,24,0.00,0.00,29,,,,,,,4,94,410,1683.00,56,0.00,56.3014,0
143,"Internal",98,127,0.00,22146.00,61.4173,18.1102,20.4724,87,0.00,4,7,0.00,0.00,0.00,0.00,0.00,0.00,,3,,0.00,3,0.00,23,0.00,0.00,0.00,3,37,13,0.00,0.00,13,55,83,118,0.00,6,6,94,16,84,17,0.00,0.00,93,,,,,,,17.5,17.5,26,376,134,0.00,64.006,0
144,"Internal",8,10,0.00,45625.00,70,10,20,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,3,0.00,18,51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,18,20.4,42.6,0.00,0.00,41.1765,0
145,"Internal",272,318,0.00,45625.00,71.0692,3.14465,25.7862,234,33,3,1,1,0.00,0.00,0.00,0.00,0.00,,15,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22,0.00,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,0.00,911,,,,,,,0.00,0.00,0.00,22,2,0.00,57.1429,0
146,"Internal",56,89,0.00,14621.00,77.5281,13.4831,8.98876,32,18,3,3,0.00,0.00,0.00,0.00,0.00,0.00,,2,,0.00,0.00,5,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,21,22,47,0.00,0.00,0.00,8,0.00,0.00,14,0.00,0.00,0.00,,,,,,,9,4,1.6,117.4,0.00,0.00,66.1157,0
147,"Internal",219,282,0.00,52892.00,79.078,6.02837,14.8936,182,21,6,10,0.00,0.00,0.00,0.00,0.00,0.00,,14,,0.00,0.00,0.00,5,36,0.00,0.00,5,8,10,0.00,0.00,11,9,29,29,0.00,0.00,0.00,55,5,22,79,0.00,2,0.00,,,,,,,43.5,4.5,12.5,204.5,40,0.00,45.283,0
148,"Internal",120,188,0.00,31865.00,81.9149,9.57447,8.51064,75,34,2,7,1,1,0.00,0.00,0.00,0.00,,5,,0.00,0.00,0.00,0.00,0.00,11,0.00,0.00,11,0.00,0.00,0.00,0.00,7,26,5,0.00,0.00,0.00,42,3,18,13,0.00,0.00,0.00,,,,,,,11,0.00,9.3,86.7,29,0.00,30.2326,0
149,"Internal",53,75,0.00,47273.00,86.6667,5.33333,8,36,14,1,2,0.00,0.00,0.00,0.00,0.00,0.00,,3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,0.00,0.00,234,1,5,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,47.1,189.9,5,0.00,85.9551,0
150,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,16,0.00,2,64,0.00,5,0.00,0.00,0.00,0.00,0.00,0.00,7,0.00,0.00,0.00,155,0.00,0.00,9,0.00,0.00,0.00,,,,,,,74,8,31,140,5,0.00,36.5696,0
151,"Internal",188,302,115,31865.00,74.1722,5.29801,20.5298,128,29,20,5,1,4,1,0.00,0.00,0.00,,5,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,0.00,0.00,0.00,10,7,0.00,5,0.00,0.00,0.00,2,9,0.00,0.00,0.00,,,,,,,0.00,5,0.00,26,4,0.00,35.2941,0
152,"Internal",369,559,0.00,28047.00,56.5295,5.36673,38.1038,244,90,15,14,3,2,1,0.00,0.00,0.00,,14,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,0.00,0.00,0.00,0.00,44,0.00,0.00,3,0.00,0.00,0.00,,,,,,,0.00,0.00,8.8,43.2,0.00,0.00,51.2821,0
153,"Internal",65,122,0.00,56759.00,58.1967,5.73771,36.0656,34,15,7,5,4,0.00,0.00,0.00,0.00,0.00,,2,,2,0.00,0.00,11,0.00,0.00,0.00,7,0.00,0.00,0.00,0.00,3,8,51,153,0.00,14,0.00,104,8,42,25,0.00,0.00,0.00,,,,,,,14.5,19.5,23.2,328.8,42,0.00,59.25,0
154,"Internal",39,56,0.00,47273.00,89.2857,5.35714,5.35714,31,2,4,1,1,0.00,0.00,0.00,0.00,0.00,,2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,5,0.00,14,0.00,0.00,70,8,45,36,0.00,0.00,0.00,,,,,,,0.00,14,16.4,105.6,45,0.00,36.5591,0
155,"Internal",138,199,0.00,31865.00,56.2814,8.54271,35.1759,93,32,10,3,0.00,0.00,0.00,0.00,0.00,0.00,,3,,7,5,0.00,409,0.00,0.00,8,5,5,2,16,0.00,0.00,52,24,133,1,69,5,17,6,29,20,0.00,0.00,0.00,,,,,,,245.5,274.5,7.2,249.8,36,0.00,50.4587,0
156,"Internal",9,26,53,25437.00,76.9231,15.3846,7.69231,4,1,2,0.00,0.00,0.00,2,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,2,16,0.00,16,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,0.00,16,140,1,5,15,0.00,0.00,0.00,,,,,,,34,6,34.7,137.3,11,0.00,51.3966,0
157,"Internal",103,181,42,52892.00,73.4807,12.1547,14.3646,46,43,11,1,1,0.00,1,0.00,0.00,0.00,,7,,0.00,0.00,0.00,10,0.00,0.00,0.00,0.00,24,7,0.00,0.00,0.00,2,22,91,8,13,0.00,69,52,264,26,0.00,0.00,0.00,,,,,,,5,26,29.4,232.6,295,0.00,44.5783,0
158,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47,0.00,0.00,9,46,10,0.00,0.00,0.00,,,,,,,0.00,47,2.7,16.3,46,0.00,47.0588,0
159,"Internal",8,10,0.00,45625.00,80,20,0.00,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,39,0.00,0.00,0.00,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31,0.00,45,1,3,39,0.00,0.00,0.00,,,,,,,22.5,50.5,9.3,75.7,4,0.00,48.4848,0
160,"Internal",68,90,0.00,52892.00,72.2222,8.88889,18.8889,51,14,1,2,0.00,0.00,0.00,0.00,0.00,0.00,,4,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,0.00,0.00,0.00,0.00,15,14,0.00,3,0.00,0.00,2,14,2,0.00,0.00,0.00,,,,,,,3,3,0.6,32.4,14,0.00,43.3333,0
161,"Internal",53,71,0.00,47273.00,69.0141,11.2676,19.7183,40,9,3,1,0.00,0.00,0.00,0.00,0.00,0.00,,4,,0.00,0.00,0.00,31,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,3,1,9,11,0.00,2,0.00,14,0.00,0.00,33,0.00,0.00,0.00,,,,,,,15.5,17.5,2.8,68.2,2,0.00,54.902,0
162,"Internal",86,228,0.00,25437.00,75.4386,19.7368,4.82456,17,38,12,6,5,6,2,0.00,0.00,0.00,,6,,0.00,0.00,0.00,20,0.00,0.00,0.00,0.00,10,14,0.00,0.00,0.00,0.00,10,0.00,0.00,0.00,0.00,0.00,10,54,5,0.00,0.00,138,,,,,,,10,10,3,22,78,0.00,46.25,0
163,"Internal",8,9,0.00,37172.00,66.6667,22.2222,11.1111,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33,0.00,0.00,0.00,0.00,0.00,0.00,25,0.00,0.00,0.00,0.00,258,2,14,26,0.00,0.00,0.00,,,,,,,33,0.00,52.2,258.8,14,0.00,55.3846,0
